id,severity,confidence,category,title,paths_or_symbols,evidence_summary,root_cause,blast_radius,remediation_summary,validation_summary,external_references
NOVA-AUDIT-001,P0,High,Deployment / Configuration Drift / Runtime Failure,Worker ECS stack is not runnable against the current image and runtime contract,packages/nova_file_api/pyproject.toml:25-26; packages/nova_file_api/src/nova_file_api/worker.py:533-545; packages/nova_file_api/src/nova_file_api/config.py:383-405; apps/nova_file_api_service/Dockerfile:36-54; infra/runtime/file_transfer/worker.yml:47-49; infra/runtime/file_transfer/worker.yml:214-239; scripts/release/deploy-runtime-cloudformation-environment.sh:531-563; tests/infra/test_absorbed_infra_contracts.py:391-400,"The package exposes the worker as the installed console script `nova-file-worker` (`packages/nova_file_api/pyproject.toml:25-26`). | The worker process hard-requires `JOBS_RUNTIME_MODE=worker`, SQS backend, `JOBS_SQS_QUEUE_URL`, `JOBS_API_BASE_URL`, and `JOBS_WORKER_UPDATE_TOKEN` (`packages/nova_file_api/src/nova_file_api/config.py:383-405`; `packages/nova_file_api/src/nova_file_api/worker.py:533-545`). | The final container image copies only `/app/.venv` into the runtime image and does not copy `src/worker.py` (`apps/nova_file_api_service/Dockerfile:46-54`).","The worker deployment path was partially migrated from source-tree execution to installed-package execution, but the CloudFormation template, release script assumptions, and infra tests were not migrated together.","All ECS/Fargate worker deployments. Async job execution, backlog drainage, DLQ behavior, and post-upload processing are at risk or non-functional.","1) Change the worker task command to the installed script (`nova-file-worker`) or an equivalent module entrypoint. 2) Inject the canonical worker env contract: `JOBS_RUNTIME_MODE=worker`, `JOBS_QUEUE_BACKEND=sqs`, `JOBS_SQS_QUEUE_URL`, `JOBS_API_BASE_URL`, `JOBS_WORKER_UPDATE_TOKEN`, plus only the file-transfer envs the worker actually consumes. 3) Remove stale aliases (`FILE_TRANSFER_API_BASE_URL`, `FILE_TRANSFER_JOBS_QUEUE_URL`, `FILE_TRANSFER_JOBS_REGION`, `APP_SYNC_PROCESSING_MAX_BYTES`) unless there is explicit translation code. 4) Replace the current string-fragment infra assertions with an automated contract test that compares template env names against `Settings` aliases and verifies the task command exists in the built image.",- Build the worker image and assert `which nova-file-worker` succeeds inside the container. - Render the worker task definition and assert the environment contains the canonical `JOBS_*` names. - Start the container with the rendered env and verify `nova-file-worker` reaches the SQS poll loop instead of failing startup. - Replace the stale textual infra test with a contract-aware template test.,https://docs.aws.amazon.com/AmazonECS/latest/developerguide/task_definition_parameters.html; https://docs.aws.amazon.com/AmazonECS/latest/developerguide/specifying-sensitive-data.html
NOVA-AUDIT-002,P0,High,Deployment / Configuration Drift / Dead Abstraction,Primary ECS service stack does not inject the runtime settings the application actually reads,infra/runtime/ecs/service.yml:152-155; infra/runtime/ecs/service.yml:212-225; infra/runtime/ecs/service.yml:568-611; packages/nova_file_api/src/nova_file_api/config.py:239-325; scripts/release/deploy-runtime-cloudformation-environment.sh:519-527; docs/plan/release/deploy-runtime-cloudformation-environments-guide.md:65-67; docs/plan/release/deploy-runtime-cloudformation-environments-guide.md:106,"The ECS service template accepts `EnvVars` and by default injects `ENV_DICT`/`AUTH_APP_SECRET` when `UseLegacyEnvDict=true` (`infra/runtime/ecs/service.yml:152-155`, `:212-225`, `:597-606`). | Search across `packages`, `scripts`, and `infra` finds no runtime code that reads `ENV_DICT`; the symbol appears only in the template (`rg` across the extracted repo). | The runtime settings model only reads canonical env aliases such as `JOBS_*`, `CACHE_REDIS_URL`, `AUTH_MODE`, `OIDC_*`, and `IDEMPOTENCY_*` (`packages/nova_file_api/src/nova_file_api/config.py:239-325`).","A legacy environment-bundle approach survived after the runtime moved to explicit Pydantic settings aliases. Docs and release automation were updated at the edge, but the task-definition wiring was not.","All ECS service deployments for the file API. Idempotency, async jobs, auth mode, Redis-backed cache, and OIDC configuration can silently fall back to defaults or start in the wrong posture.","1) Remove `ENV_DICT` as a deployment contract. 2) Inject the canonical env variables individually in the ECS task definition (or via ECS `environmentFiles`/SSM references where appropriate). 3) Default `UseLegacyEnvDict` to `false`, then delete it once migration is complete. 4) Add a template test that renders the task definition and asserts parity with the runtime `Settings` model for all required production vars. 5) Update the release guide and scripts so the examples reflect the actual task-definition inputs.",- Render the ECS task definition and diff injected env names against `Settings` aliases. - Boot the service with a representative prod config and assert `Settings().model_dump()` shows the intended values. - Add a deployment smoke test that fails when a documented env var is not consumed by the runtime.,https://docs.aws.amazon.com/AmazonECS/latest/developerguide/task_definition_parameters.html; https://docs.aws.amazon.com/AmazonECS/latest/developerguide/use-environment-file.html
NOVA-AUDIT-003,P0,High,Correctness / Data Integrity / Contract Drift,Resolved 2026-03-16: strict shared idempotency now fails closed without a mode matrix,packages/nova_file_api/src/nova_file_api/idempotency.py; packages/nova_file_api/src/nova_file_api/dependencies.py; packages/nova_file_api/src/nova_file_api/routes/transfers.py; packages/nova_file_api/src/nova_file_api/routes/jobs.py; packages/nova_file_api/tests/test_idempotency.py; infra/runtime/ecs/service.yml; scripts/release/deploy-runtime-cloudformation-environment.sh,The runtime now builds idempotency on shared Redis claim storage directly and raises `idempotency_unavailable` on shared-store read/write failures. | Startup validation rejects `IDEMPOTENCY_ENABLED=true` without `CACHE_REDIS_URL`. | Deploy automation and ECS template rules now enforce cache wiring whenever idempotency remains enabled.,"Resolved: runtime correctness, deploy validation, and active docs were converged onto a single strict shared-idempotency contract instead of a planned mode matrix.",Historical risk affected guarded mutation endpoints in multi-instance deployments during Redis outage or misconfiguration. The active branch closes that gap.,"Shipped a single strict surface: keep `IDEMPOTENCY_ENABLED`/TTL, require shared Redis when enabled, fail closed with `503 idempotency_unavailable`, and remove supported local-only mutation semantics instead of adding `IDEMPOTENCY_MODE`.","Resolved in branch `fix/strict-shared-idempotency`: targeted tests cover shared-store claim outage, post-execute store outage, and duplicate-claim protection across store instances; infra tests cover startup and deploy-template enforcement of the shared-cache requirement.",https://docs.aws.amazon.com/AmazonECS/latest/developerguide/security-iam-roles.html
NOVA-AUDIT-004,P1,High,Operability / Health Checks / Contract Drift,Resolved 2026-03-16: readiness now gates only traffic-critical dependencies,packages/nova_file_api/src/nova_file_api/routes/platform.py; packages/nova_file_api/tests/test_app_health.py; docs/architecture/spec/SPEC-0018-runtime-configuration-and-startup-validation-contract.md,"Readiness now always gates `bucket_configured` and `auth_dependency`, gates `job_queue` only when jobs are enabled, gates `shared_cache` only when idempotency is enabled, and reports `activity_store` without making it readiness-fatal. | Route tests cover enabled/disabled idempotency and activity-store degradation cases.",Resolved: the health endpoint now derives readiness from active runtime dependencies instead of treating every reported diagnostic as readiness-fatal.,"Historical risk affected ECS deployment health, autoscaling stabilization, and operational diagnosis. The active branch aligns readiness behavior with the current authority docs.",Implemented dependency-scoped readiness without an idempotency mode matrix. Shared cache is traffic-critical only when idempotency is enabled; activity-store health remains diagnostic.,"Resolved in branch `fix/strict-shared-idempotency`: readiness tests cover jobs enabled/disabled, idempotency enabled/disabled, missing bucket, incomplete jwt_local OIDC config, and degraded activity/shared cache paths.",
NOVA-AUDIT-005,P1,High,Security / IAM / Secrets,ECS service template defaults to broad wildcard task permissions and legacy secret handling,infra/runtime/ecs/service.yml:212-225; infra/runtime/ecs/service.yml:597-611; infra/runtime/ecs/service.yml:729-745; scripts/release/deploy-runtime-cloudformation-environment.sh:519-527,"The template defaults `UseLegacyTaskRolePolicy` and `UseLegacyEnvDict` to `true` (`infra/runtime/ecs/service.yml:212-225`). | The legacy task policy grants `secretsmanager:GetSecretValue`, `kms:Decrypt`, `dynamodb:*`, `s3:*`, and `rds-db:connect` on `Resource: ""*""` (`infra/runtime/ecs/service.yml:729-745`). | The task definition still carries a TODO about moving to secret mounts, while the current legacy path injects a secret-style value via plain environment (`infra/runtime/ecs/service.yml:597-611`, `:625-629`).",The repo retained a migration-era compatibility mode and made it the default. Security hardening was deferred but never turned back into an enforced baseline.,Every ECS task using the default template path. A compromised runtime can reach more AWS resources than required.,1) Default `UseLegacyTaskRolePolicy=false` and delete the legacy path once explicit policies are in place. 2) Scope IAM permissions to concrete resources used by the service. 3) Move sensitive values to ECS `secrets` or parameter references; reserve plain `environment` for non-secret config. 4) Add IAM policy tests that fail on wildcard actions/resources outside narrow exceptions.,"- Run IAM policy linting and Access Analyzer against the rendered task role. - Render the task definition and verify secrets land in `secrets`, not plaintext `environment`, for secret data. - Execute a deploy smoke test that proves the service still has the exact AWS permissions it needs.",https://docs.aws.amazon.com/AmazonECS/latest/developerguide/security-iam-roles.html; https://docs.aws.amazon.com/AmazonECS/latest/developerguide/specifying-sensitive-data.html; https://docs.aws.amazon.com/AmazonECS/latest/developerguide/task_definition_parameters.html; https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies.html
NOVA-AUDIT-006,P1,High,CI/CD / Reproducibility / Dependency Management,The committed uv lockfile is stale and already fails the repo’s own CI gate,uv.lock; pyproject.toml; .github/workflows/ci.yml:35-39,"Running `uv lock --check` in the extracted repo returned: `The lockfile at uv.lock needs to be updated, but --check was provided.` | The CI workflow explicitly runs `uv lock --check` and `uv sync --locked --python 3.12` (`.github/workflows/ci.yml:35-39`).",Dependencies or project metadata changed without regenerating and committing `uv.lock`.,All clean CI environments and any developer workflow relying on locked installs.,"Regenerate `uv.lock`, commit it, and add a pre-merge guard so dependency or workspace metadata changes cannot land without a lockfile update.",Run `uv lock --check` and `uv sync --locked` in CI on a clean environment after committing the regenerated lockfile.,https://docs.astral.sh/uv/concepts/projects/sync/
NOVA-AUDIT-007,P1,High,Architecture / Dependency Direction / DRY,`nova_dash_bridge` breaks the declared adapter boundary and duplicates core contract models,AGENTS.md:95-97; docs/architecture/spec/SPEC-0017-runtime-component-topology-and-ownership-contract.md:33-53; docs/architecture/adr/ADR-0025-runtime-monorepo-component-boundaries-and-ownership.md:80-82; packages/nova_dash_bridge/src/nova_dash_bridge/service.py:17-42; packages/nova_dash_bridge/src/nova_dash_bridge/service.py:195-208; packages/nova_dash_bridge/src/nova_dash_bridge/service.py:587-624; packages/nova_dash_bridge/src/nova_dash_bridge/models.py:16-132; packages/nova_file_api/src/nova_file_api/models.py:67-176,"The repo’s own architecture docs say `nova_dash_bridge` may call canonical services or generated clients but must not redefine auth/storage authority or contract ownership (`AGENTS.md:95-97`; `SPEC-0017:33-53`; `ADR-0025:80-82`). | The bridge directly imports `nova_file_api.config.Settings`, `nova_file_api.errors.FileTransferError`, core request models, and `TransferService` (`packages/nova_dash_bridge/src/nova_dash_bridge/service.py:17-42`). | The bridge constructs and mutates a `CoreSettings()` instance rather than consuming a stable public contract (`packages/nova_dash_bridge/src/nova_dash_bridge/service.py:587-624`).",The bridge package was allowed to evolve from thin framework glue into a semi-fork of the core transfer surface.,"All Dash/Flask/FastAPI adapter consumers and any future contract change touching transfer models, auth semantics, or runtime settings.",1) Make the bridge depend on a stable public contract surface: either generated SDKs or a deliberately exported service interface. 2) Delete duplicate bridge request models where they can be replaced by canonical public models. 3) Stop mutating `CoreSettings` from the bridge; pass explicit configuration objects into a stable adapter boundary. 4) Add an architectural test that fails on `nova_dash_bridge -> nova_file_api` imports outside an allowed public façade.,"Resolved in PR #53 (`refactor/dash-bridge-public-facade`): the bridge now depends on `nova_file_api.public`, receives explicit `TransferFacadeConfig`, and is protected by a bridge import-boundary test.",
NOVA-AUDIT-008,P1,High,Testing / Reliability,`nova_dash_bridge` ships non-trivial framework adapters with zero tests,packages/nova_dash_bridge/src/nova_dash_bridge/dash_integration.py; packages/nova_dash_bridge/src/nova_dash_bridge/fastapi_integration.py; packages/nova_dash_bridge/src/nova_dash_bridge/flask_integration.py; packages/nova_dash_bridge/src/nova_dash_bridge/service.py,"The package contains adapter modules for Dash, Flask, FastAPI, and a non-trivial bridge service. | There is no `packages/nova_dash_bridge/tests` directory and no bridge tests elsewhere in the repo (`find packages -maxdepth 2 -type d -name tests`).","The bridge appears to have been treated as optional glue rather than production code, even though it owns behavior.",All adapter consumers. Regressions will likely escape until runtime integration.,"Add unit tests for model coercion and error mapping, plus integration tests for the FastAPI and Flask adapters using minimal app fixtures. Focus first on the bridge paths that currently duplicate core contract handling.","Resolved in PR #53 (`refactor/dash-bridge-public-facade`): bridge regression tests now live under `packages/nova_dash_bridge/tests` and cover download, asset contracts, FastAPI lifespan integration, and public-boundary enforcement.",https://docs.pytest.org/en/7.1.x/explanation/goodpractices.html
NOVA-AUDIT-009,P1,High,Architecture / SOLID / DRY / Maintainability,Core file API routes own duplicated idempotency/metrics/activity/error workflow instead of a reusable service boundary,packages/nova_file_api/src/nova_file_api/routes/transfers.py:71-196; packages/nova_file_api/src/nova_file_api/routes/jobs.py:351-470,"`initiate_upload()` in `routes/transfers.py` is ~143 lines and manually performs request replay, claim, conflict handling, metrics, activity recording, and idempotency store writes (`packages/nova_file_api/src/nova_file_api/routes/transfers.py:71-196`). | `_enqueue_job_core()` in `routes/jobs.py` repeats the same workflow for jobs (`packages/nova_file_api/src/nova_file_api/routes/jobs.py:351-470`). | A structural comparison of the two functions in this environment found multiple common normalized blocks for replay/load/claim/discard/store-response and final metrics/activity emission, confirming real change-coupling rather than superficial similarity.",Cross-cutting request lifecycle concerns were implemented directly inside route functions instead of being centralized in a reusable service/decorator/workflow abstraction.,"Any future change to idempotency semantics, observability, replay behavior, or failure handling across mutation endpoints.","Extract a reusable guarded-mutation workflow object or service-layer helper that owns: idempotency claim/replay/store, common metrics, activity recording, and standardized failure cleanup. Routes should become thin wrappers that parse inputs, call the workflow, and return typed responses.","Resolved in PR #53 (`refactor/dash-bridge-public-facade`): `run_guarded_mutation()` now centralizes replay, claim, discard, store-response, and route hook flow for upload initiation and job enqueue, with dedicated unit coverage.",
NOVA-AUDIT-010,P1,High,Testing / CI Blind Spot / Infrastructure Validation,Infrastructure tests are largely textual and currently ratify stale behavior instead of validating runtime compatibility,tests/infra/test_absorbed_infra_contracts.py:391-400; .github/workflows/cfn-contract-validate.yml; .github/workflows/ci.yml,"The infra test explicitly asserts stale worker env names such as `FILE_TRANSFER_JOBS_QUEUE_URL` and `FILE_TRANSFER_JOBS_REGION` (`tests/infra/test_absorbed_infra_contracts.py:391-400`). | There is no test asserting that worker task commands exist in the image, that ECS env names match the runtime `Settings` aliases, or that the release script overrides broken defaults. | The repo has CI lanes for contracts and infra validation, but the existing checks are mostly template- and string-oriented rather than runtime-compatibility-oriented.",The contract test suite validates text patterns and historical intent instead of validating the actual code-template-image interface.,"Every deployment-related regression, especially configuration and entrypoint drift.","Replace textual assertions with semantic tests: - parse templates and compare env names against the runtime settings schema; - assert image entrypoints/commands exist; - render deploy-script parameters and fail when required template overrides are missing; - keep cfn-lint, but treat it as syntax validation, not behavior validation.","Add a dedicated ""runtime artifact compatibility"" test suite and require it in PR CI before publish/deploy workflows.",
